artistID,artists
1,Gen Hoshino
2,Ben Woodward
3,Ingrid Michaelson;ZAYN
4,Kina Grannis
5,Chord Overstreet
6,Tyrone Wells
7,A Great Big World;Christina Aguilera
8,Jason Mraz
9,Jason Mraz;Colbie Caillat
10,Ross Copperman
11,Zack Tabudlo
12,Dan Berk
13,Anna Hamilton
14,Chord Overstreet;Deepend
15,Landon Pigg
16,Andrew Foy;Renee Foy
17,Boyce Avenue;Bea Miller
18,Boyce Avenue;Jennel Garcia
19,Brandi Carlile;Sam Smith
20,KT Tunstall
21,Brandi Carlile
22,Eddie Vedder
23,Brandi Carlile;Lucius
24,Highland Peak
25,Motohiro Hata
26,Andrew Belle
27,Ron Pope
28,Adam Christopher
29,Aron Wright
30,Sara Bareilles
31,Kurt Cobain
32,Tim Halperin
33,Canyon City
34,Aaron Espe
35,Tyler Ward
36,Five For Fighting
37,Bailey Jehl
38,Ingrid Michaelson
39,A Great Big World
40,Eddie Vedder;Nusrat Fateh Ali Khan
41,Drew Holcomb & The Neighbors
42,Gabrielle Aplin
43,The Civil Wars
44,Callum J Wright
45,Boyce Avenue;Fifth Harmony
46,Boyce Avenue
47,Gabrielle Aplin;JP Cooper
48,Mone Kamishiraishi
49,John Adams
50,Kitri
51,Augustana
52,Matthew Perryman Jones
53,Ray LaMontagne;Sierra Ferrell
54,Meg Birch
55,Catherine Feeny
56,Joshua Hyslop
57,JJ Heller
58,Howie Day
59,Ben Rector
60,Matt Nathanson
61,Rachael Yamagata
62,Parachute
63,Susie Suh;Robot Koch
64,Tyler Ward;Lindsey Stirling;Kina Grannis
65,Eden Elf;Ren Avel
66,Boyce Avenue;Rachel Grae
67,Cary Brothers
68,The Mayries
69,Joseph Sullinger
70,Zack Tabudlo;Yonnyboii
71,Tobey Rosen
72,Aqualung
73,Tyler Ward;Karis;Ray Lorraine
74,Agustín Amigó;Nylonwings
75,Amy Stroup
76,Boyce Avenue;Connie Talbot
77,Caleb Santos;Viva Music Publishing Inc.
78,Priscilla Ahn
79,Jon Bryant
80,Donovan Woods
81,Angelina Cruz
82,Stephen Speaks
83,The Weepies;Deb Talan;Steve Tannen
84,Freddie King
85,Taj Mahal
86,Keb' Mo';Gerald Albright
87,Thomas Daniel
88,Masayoshi Yamazaki
89,Todd Carey;Ariza;Chuck Leavell
90,YUZU
91,Jonah Baker
92,Zack Tabudlo;Billkin
93,Anna Nalick
94,Us The Duo
95,Donovan Woods;Tenille Townes
96,Ray LaMontagne
97,Megan Davies
98,Boyce Avenue;Megan Nicole
99,Amos Lee
100,Jason Mraz;Meghan Trainor
101,Days N Daze
102,Mindy Gledhill
103,Dave Barnes
104,Get Dead
105,Albert King
106,Aoi Teshima
107,Boyce Avenue;Emma Heesters
108,Jae Hall
