albumID,album_name,artistID
1,Comedy,1
2,Ghost (Acoustic),2
3,To Begin Again,3
4,Crazy Rich Asians (Original Motion Picture Soundtrack),4
5,Hold On,5
6,Days I Will Remember,6
7,Is There Anybody Out There?,7
8,We Sing. We Dance. We Steal Things.,8
9,Hunger,10
10,Episode,11
11,Love Is a Four Letter Word,8
12,Solo,12
13,Bad Liar,13
14,Hold On (Remix),14
15,The Boy Who Never,15
16,ily (i love you baby),16
17,At My Worst,16
18,"Cover Sessions, Vol. 4",17
19,"Cover Sessions, Vol. 3",18
20,Is There Anybody Out There? - Track by Track Commentary,7
21,Coffee Moment,8
22,Human - Best Adult Pop Tunes,8
23,Mellow Adult Pop,8
24,Holly Jolly Christmas,8
25,Feeling Good - Adult Pop Favorites,8
26,Christmas Time,8
27,Perfect Christmas Hits,8
28,Merry Christmas,8
29,Christmas Music - Holiday Hits,8
30,Christmas Country Songs 2022,5
31,Mellow Bars R'n'B,19
32,Chill Christmas Dinner,20
33,rainy day indie,21
34,sadsadchristmas,20
35,Mega Hits Autumn/Fall 2022,22
36,Country Car Hits,23
37,Country Road Songs,23
38,Finest Country,21
39,Easy Country,23
40,Cozy Country,23
41,Good Times Country,23
42,Laidback Country,23
43,Chillin' It - Mellow Day Country,23
44,Trampoline (Acoustic),24
45,Documentary,25
46,Black Bear,26
47,The Bedroom Demos,27
48,So Far Away (Acoustic),28
49,Build It Better,29
50,Sleepwalking in the Rain,5
51,Little Voice,30
52,What's Left of You,5
53,Pano,11
54,The Daylight EP,26
55,Montage Of Heck: The Home Recordings,31
56,Covers,32
57,Midnight Waves,33
58,Making All Things New,34
59,What's Inside: Songs from Waitress,30
60,In My Veins (Feat. Erin Mccarley),26
61,Under Covers,35
62,Whatever It Takes,27
63,America Town,36
64,Dive Deep,26
65,You're Still The One,37
66,It Doesn't Have To Make Sense,38
67,When the Morning Comes,39
68,"Eat, Pray, Love",40
69,Good Light,41
70,Know.,8
71,Break Up Songs,42
72,Into The Wild (Music For The Motion Picture),22
73,u don't deserve me,42
74,The Blessed Unrest,30
75,Slow Christmas Songs 2022,20
76,Lonely Christmas 2022,20
77,Bookmarks,36
78,Alternative Christmas 2022,43
79,Acoustic Christmas Campfire,43
80,Del gusto de mamá,20
81,OO's Music Grandi Successi,20
82,言ノ葉,25
83,Somebody Else (Acoustic),44
84,Black Bear (Hushed),26
85,Stand by Me,46
86,Dear Happy,47
87,chouchou,48
88,You’re Beautiful (Acoustic),49
89,Hikare Inochi,50
90,Songs From Nashville,35
91,"Cover Sessions, Vol. 6",46
92,Dive Deep (Hushed),26
93,When the Party's over (Acoustic Piano),2
94,All The Stars and Boulevards,51
95,Living in the Shadows,52
96,death bed (coffee for your head),16
97,You Are My Sunshine,4
98,I Won't Give Up,8
99,I Was Born To Love You,53
100,Life Sucks Playlist,54
101,Hurricane Glass,55
102,Where The Mountain Meets The Valley,56
103,Holding On And Letting Go - Single,10
104,You Already Know,57
105,Believer (Remix),2
106,Stop All the World Now (Special Edition),58
107,Magic,59
108,Some Mad Hope,60
109,Something In the Rain (Music from the Original TV Series),61
110,The Way It Was,62
111,Wide Awake,62
112,Waiting for My Rocket to Come (Expanded Edition),8
113,English Rain,42
114,Eye To The Telescope,20
115,I Dream of You: CALM,57
116,Here with Me,63
117,"Tyler Ward Covers, Vol. 5",64
118,Stop All The World Now,58
119,get better,65
120,Let It Go,66
121,What You Need,5
122,The Battle for Everything,36
123,Nightshade,26
